,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
765,"Data-driven machine learning and neural network algorithms in the retailing environment: Consumer engagement, experience, and purchase behaviors","T Kliestik, K Zvarikova, G Lăzăroiu",2022," Economics, Management and …,",ceeol.com,125,41.666666666666664
766,Machine learning-enabled globally guaranteed evolutionary computation,"B Li, Z Wei, J Wu, S Yu, T Zhang, C Zhu…",2023," Nature Machine …,",nature.com,17,8.5
767,Confusion matrix: Machine learning,J Liang,2022," POGIL Activity Clearinghouse,",pac.pogil.org,71,23.666666666666668
768,Artificial Intelligence and Machine Learning in CRM: Leveraging Data for Predictive Analytics,"RT Potla, VK Pottla",2024," Journal of Artificial Intelligence …,",thesciencebrigade.com,8,8.0
769,Enhanced membership inference attacks against machine learning models,"J Ye, A Maddi, SK Murakonda…",2022," Proceedings of the …,",dl.acm.org,216,72.0
770,Web application based Diabetes prediction using Machine Learning,"GR Kumar, RV Reddy, M Jayarathna…",2023," … on Advances in …,",ieeexplore.ieee.org,33,16.5
771,Fraudulent financial transactions detection using machine learning,"MMM Megdad, SS Abu-Naser, BS Abu-Nasser",2022,,philpapers.org,50,16.666666666666668
772,Adversarial machine learning for network intrusion detection: A comparative study,"H Jmila, MI Khedher",2022," Computer Networks,",Elsevier,56,18.666666666666668
773,Machine learning algorithms in the environmental corrosion evaluation of reinforced concrete structures-A review,"H Jia, G Qiao, P Han",2022," Cement and Concrete Composites,",Elsevier,41,13.666666666666666
774,Interpretable Ensemble-Machine-Learning models for predicting creep behavior of concrete,"M Liang, Z Chang, Z Wan, Y Gan, E Schlangen…",2022," Cement and Concrete …,",Elsevier,176,58.666666666666664
775,How Interpretable Machine Learning Can Benefit Process Understanding in the Geosciences,"S Jiang, L Sweet, G Blougouras, A Brenning…",2024," Earth's …,",Wiley Online Library,3,3.0
776,Reducing literature screening workload with machine learning,"T Burgard, A Bittermann",2023," Zeitschrift für Psychologie,",econtent.hogrefe.com,26,13.0
777,A systematic review of localization in WSN: Machine learning and optimization‐based approaches,"P Yadav, SC Sharma",2023," International journal of communication …,",Wiley Online Library,28,14.0
778,Artificial intelligence (AI) and machine learning (ML) based decision support systems in mental health: An integrative review,"O Higgins, BL Short, SK Chalup…",2023," International Journal of …,",Wiley Online Library,52,26.0
779,Amelioration of Alzheimer's disease pathology by mitophagy inducers identified via machine learning and a cross-species workflow,"C Xie, XX Zhuang, Z Niu, R Ai, S Lautrup…",2022," Nature Biomedical …,",nature.com,168,56.0
780,Machine Learning Approaches for Analysis in Smart Healthcare Informatics,"N Jiwani, K Gupta, P Whig",2023," Machine Learning and Artificial …,",api.taylorfrancis.com,31,15.5
781,Predicting industrial building energy consumption with statistical and machine-learning models informed by physical system parameters,"S Kapp, JK Choi, T Hong",2023," Renewable and Sustainable Energy Reviews,",Elsevier,59,29.5
782,Energy demand forecasting in seven sectors by an optimization model based on machine learning algorithms,"ME Javanmard, SF Ghaderi",2023," Sustainable Cities and Society,",Elsevier,29,14.5
783,Sentiment analysis using Twitter data: a comparative application of lexicon-and machine-learning-based approach,"Y Qi, Z Shabrina",2023," Social Network Analysis and Mining,",Springer,74,37.0
784,Big data and machine learning driven bioprocessing–recent trends and critical analysis,"CT Yang, E Kristiani, YK Leong, JS Chang",2023," Bioresource technology,",Elsevier,34,17.0
785,Heart disease prediction using machine learning techniques: a quantitative review,"L Riyaz, MA Butt, M Zaman, O Ayob",2022," International Conference on …,",Springer,65,21.666666666666668
786,Lung Cancer Classification and Prediction Using Machine Learning and Image Processing,"S Nageswaran, G Arunkumar, AK Bisht…",2022," BioMed research …,",Wiley Online Library,89,29.666666666666668
787,Data banzhaf: A robust data valuation framework for machine learning,"JT Wang, R Jia",2023," International Conference on Artificial …,",proceedings.mlr.press,65,32.5
788,GPR monitoring for road transport infrastructure: A systematic review and machine learning insights,"M Rasol, JC Pais, V Pérez-Gracia, M Solla…",2022," … and Building Materials,",Elsevier,101,33.666666666666664
789,Problem-independent machine learning (PIML)-based topology optimization—A universal approach,"M Huang, Z Du, C Liu, Y Zheng, T Cui, Y Mei…",2022," Extreme Mechanics …,",Elsevier,30,10.0
790,Adversarial machine learning in wireless communications using RF data: A review,"D Adesina, CC Hsieh, YE Sagduyu…",2022," … Surveys & Tutorials,",ieeexplore.ieee.org,114,38.0
791,Improving drought modeling based on new heuristic machine learning methods,"RM Adnan, HL Dai, A Kuriqi, O Kisi…",2023," Ain Shams Engineering …,",Elsevier,21,10.5
792,Machine learning prediction models to evaluate the strength of recycled aggregate concrete,"X Yuan, Y Tian, W Ahmad, A Ahmad, KI Usanova…",2022," Materials,",mdpi.com,72,24.0
793,Addressing the challenges and barriers to the integration of machine learning into clinical practice: An innovative method to hybrid human–machine …,"C Ed-Driouch, F Mars, PA Gourraud, C Dumas",2022," Sensors,",mdpi.com,26,8.666666666666666
794,Machine learning methods for modelling the gasification and pyrolysis of biomass and waste,"S Ascher, I Watson, S You",2022," Renewable and Sustainable Energy Reviews,",Elsevier,154,51.333333333333336
795,"Machine learning for design, phase transformation and mechanical properties of alloys",JF Durodola,2022," Progress in Materials Science,",Elsevier,63,21.0
796,Flood detection in urban areas using satellite imagery and machine learning,"AH Tanim, CB McRae, H Tavakol-Davani, E Goharian",2022," Water,",mdpi.com,69,23.0
797,Data compression for quantum machine learning,"R Dilip, YJ Liu, A Smith, F Pollmann",2022," Physical Review Research,",APS,43,14.333333333333334
798,A review of machine learning techniques for identifying weeds in corn,"A Venkataraju, D Arumugam, C Stepan, R Kiran…",2023," Smart Agricultural …,",Elsevier,29,14.5
799,A review of the gumbel-max trick and its extensions for discrete stochasticity in machine learning,"IAM Huijben, W Kool, MB Paulus…",2022," … analysis and machine …,",ieeexplore.ieee.org,91,30.333333333333332
800,Easy and fast prediction of green solvents for small molecule donor-based organic solar cells through machine learning,"A Mahmood, Y Sandali, JL Wang",2023," Physical Chemistry Chemical …,",pubs.rsc.org,73,36.5
801,Seismic damage prediction of RC buildings using machine learning,"S Bhatta, J Dang",2023," Earthquake Engineering & Structural …,",Wiley Online Library,28,14.0
802,Rapsai: Accelerating machine learning prototyping of multimedia applications through visual programming,"R Du, N Li, J Jin, M Carney, S Miles, M Kleiner…",2023," Proceedings of the …,",dl.acm.org,27,13.5
803,Advanced machine learning algorithms for complex financial applications,"M Irfan, M Elhoseny, S Kassim, N Metawa",2023,,books.google.com,40,20.0
804,Machine learning algorithms for defect detection in metal laser-based additive manufacturing: A review,"Y Fu, ARJ Downey, L Yuan, T Zhang, A Pratt…",2022," Journal of Manufacturing …,",Elsevier,164,54.666666666666664
805,Optimizing durability assessment: Machine learning models for depth of wear of environmentally-friendly concrete,"M Khan, AU Khan, M Houda, C El Hachem…",2023," Results in …,",Elsevier,25,12.5
806,Privacy-preserving machine learning with fully homomorphic encryption for deep neural network,"JW Lee, HC Kang, Y Lee, W Choi, J Eom…",2022," iEEE …,",ieeexplore.ieee.org,266,88.66666666666667
807,Machine learning for understanding and predicting injuries in football,"A Majumdar, R Bakirov, D Hodges, S Scott…",2022," Sports Medicine-Open,",Springer,43,14.333333333333334
808,Streamflow prediction utilizing deep learning and machine learning algorithms for sustainable water supply management,"SD Latif, AN Ahmed",2023," Water Resources Management,",Springer,29,14.5
809,A systematic literature review of deep and machine learning algorithms in cardiovascular diseases diagnosis,"ZK Alkayyali, SAB Idris, SS Abu-Naser",2023," Journal of Theoretical and Applied …,",jatit.org,45,22.5
810,A patient network-based machine learning model for disease prediction: The case of type 2 diabetes mellitus,"H Lu, S Uddin, F Hajati, MA Moni, M Khushi",2022," Applied Intelligence,",Springer,103,34.333333333333336
811,DescribeML: a tool for describing machine learning datasets,"J Giner-Miguelez, A Gómez, J Cabot",2022," Proceedings of the 25th …,",dl.acm.org,21,7.0
812,"QDataSet, quantum datasets for machine learning","E Perrier, A Youssry, C Ferrie",2022," Scientific data,",nature.com,22,7.333333333333333
813,Predicting infectious disease for biopreparedness and response: A systematic review of machine learning and deep learning approaches,"R Keshavamurthy, S Dixon, KT Pazdernik, LE Charles",2022," One Health,",Elsevier,41,13.666666666666666
814,Evolving applications of artificial intelligence and machine learning in infectious diseases testing,"NK Tran, S Albahra, L May, S Waldman…",2022," Clinical …,",academic.oup.com,59,19.666666666666668
815,A machine learning approach for predicting hidden links in supply chain with graph neural networks,"EE Kosasih, A Brintrup",2022," International Journal of Production …,",Taylor & Francis,124,41.333333333333336
816,Machine learning for accelerating the design process of double-double composite structures,"Z Zhang, Z Zhang, F Di Caprio, GX Gu",2022," Composite Structures,",Elsevier,45,15.0
817,A survey of intrusion detection from the perspective of intrusion datasets and machine learning techniques,"G Singh, N Khare",2022," International Journal of Computers and …,",Taylor & Francis,93,31.0
818,"Prospective validation of machine learning algorithms for absorption, distribution, metabolism, and excretion prediction: An industrial perspective","C Fang, Y Wang, R Grater, S Kapadnis…",2023," Journal of Chemical …,",ACS Publications,32,16.0
819,Multi-modality machine learning predicting Parkinson's disease,"MB Makarious, HL Leonard, D Vitale, H Iwaki…",2022," npj Parkinson's …,",nature.com,78,26.0
820,The coming of age of interpretable and explainable machine learning models,"PJG Lisboa, S Saralajew, A Vellido…",2023," Neurocomputing,",Elsevier,85,42.5
821,Recent progress of machine learning in flow modeling and active flow control,"Y Li, J Chang, C Kong, W Bao",2022," Chinese Journal of Aeronautics,",Elsevier,62,20.666666666666668
822,Non-parametric empirical machine learning for short-term and long-term structural health monitoring,"A Entezami, H Shariatmadar…",2022," Structural Health …,",journals.sagepub.com,49,16.333333333333332
823,Machine learning for large-scale optimization in 6g wireless networks,"Y Shi, L Lian, Y Shi, Z Wang, Y Zhou…",2023," … Surveys & Tutorials,",ieeexplore.ieee.org,54,27.0
824,A review on the current usage of machine learning tools for daylighting design and control,"J Ngarambe, I Adilkhanova, B Uwiragiye…",2022," Building and …,",Elsevier,34,11.333333333333334
825,Prediction of liquid–liquid phase separating proteins using machine learning,"X Chu, T Sun, Q Li, Y Xu, Z Zhang, L Lai, J Pei",2022," BMC bioinformatics,",Springer,111,37.0
826,"Prospective, multi-site study of patient outcomes after implementation of the TREWS machine learning-based early warning system for sepsis","R Adams, KE Henry, A Sridharan, H Soleimani…",2022," Nature medicine,",nature.com,156,52.0
827,Machine learning modeling for proton exchange membrane fuel cell performance,"A Legala, J Zhao, X Li",2022," Energy and AI,",Elsevier,61,20.333333333333332
828,Machine learning for workflow applications in screening mammography: systematic review and meta-analysis,"SE Hickman, R Woitek, EPV Le, YR Im…",2022," Radiology,",pubs.rsna.org,80,26.666666666666668
829,A Detailed View on industrial Safety and Health Analytics using Machine Learning Hybrid Ensemble Techniques,"K Rathor, S Lenka, KA Pandya…",2022," … Conference on Edge …,",ieeexplore.ieee.org,101,33.666666666666664
830,Machine learning models for the identification of prognostic and predictive cancer biomarkers: a systematic review,"Q Al-Tashi, MB Saad, A Muneer, R Qureshi…",2023," International journal of …,",mdpi.com,43,21.5
831,Machine learning for microalgae detection and utilization,"H Ning, R Li, T Zhou",2022," Frontiers in Marine Science,",frontiersin.org,31,10.333333333333334
832,Landslide susceptibility prediction using slope unit-based machine learning models considering the heterogeneity of conditioning factors,"Z Chang, F Catani, F Huang, G Liu, SR Meena…",2023," Journal of Rock …,",Elsevier,108,54.0
833,Transparency of artificial intelligence/machine learning-enabled medical devices,"AA Shick, CM Webber, N Kiarashi, JP Weinberg…",2024," NPJ Digital …,",nature.com,9,9.0
834,Machine learning algorithms for predicting surgical outcomes after colorectal surgery: a systematic review,"M Bektaş, JB Tuynman, J Costa Pereira…",2022," World journal of …,",Springer,32,10.666666666666666
835,Detection of malware by deep learning as CNN-LSTM machine learning techniques in real time,"MS Akhtar, T Feng",2022," Symmetry,",mdpi.com,53,17.666666666666668
836,Lessons on interpretable machine learning from particle physics,"C Grojean, A Paul, Z Qian, I Strümke",2022," Nature Reviews Physics,",nature.com,27,9.0
837,"Mind Matters: Exploring AI, Machine Learning, and Deep Learning in Neurological Health","I Hussain, MB Nazir",2024," International Journal of Advanced Engineering …,",ijaeti.com,13,13.0
838,Performance analysis of machine learning based optimized feature selection approaches for breast cancer diagnosis,"A Sharma, PK Mishra",2022," International Journal of Information Technology,",Springer,114,38.0
839,Machine learning for diabetes clinical decision support: a review,"A Tuppad, SD Patil",2022," Advances in Computational Intelligence,",Springer,47,15.666666666666666
840,The Use of Machine Learning and Neural Networks in the Digital Economy and International Digital Integration,"DM Okhunov, MH Okhunov…",2023," Journal of Ethics and …,",eprints.umsida.ac.id,26,13.0
841,An empirical assessment of ensemble methods and traditional machine learning techniques for web-based attack detection in industry 5.0,"O Chakir, A Rehaimi, Y Sadqi, M Krichen…",2023," Journal of King Saud …,",Elsevier,41,20.5
842,Survey on intrusion detection systems based on machine learning techniques for the protection of critical infrastructure,"A Pinto, LC Herrera, Y Donoso, JA Gutierrez",2023," Sensors,",mdpi.com,40,20.0
843,Machine Learning Approaches to Detect DoS and Their Effect on WSNs Lifetime.,"R Wazirali, R Ahmad",2022," Computers, Materials & Continua,",academia.edu,41,13.666666666666666
844,The role of machine learning and artificial intelligence for making a digital classroom and its sustainable impact on education during COVID-19,"AA Shaikh, A Kumar, K Jani, S Mitra…",2022," Materials Today …,",Elsevier,79,26.333333333333332
845,Tourism development and US energy security risks: a KRLS machine learning approach,"M Balcilar, O Usman, O Özkan",2024," Current Issues in Tourism,",Taylor & Francis,20,20.0
846,Machine learning conservation laws from differential equations,"Z Liu, V Madhavan, M Tegmark",2022," Physical Review E,",APS,36,12.0
847,State-of-the-art and future directions of machine learning for biomass characterization and for sustainable biorefinery,"A Velidandi, PK Gandam, ML Chinta…",2023," Journal of Energy …,",Elsevier,30,15.0
848,"Exploring the resources, competencies, and capabilities needed for successful machine learning projects in digital marketing","M Blomster, T Koivumäki",2022," Information systems and e-business …,",Springer,37,12.333333333333334
849,Unlocking the potential of quality as a core marketing strategy in remanufactured circular products: A machine learning enabled multi-theoretical perspective,K Govindan,2024," International Journal of Production Economics,",Elsevier,32,32.0
850,Building a conversational chatbot using machine learning: Towards a more intelligent healthcare application,"RK Solanki, AS Rajawat, AR Gadekar…",2023," Handbook of research …,",igi-global.com,45,22.5
851,Machine learning assisted analysis of an ammonia engine performance,"Z Liu, J Liu",2022," Journal of Energy Resources …,",asmedigitalcollection.asme.org,50,16.666666666666668
852,Prediction of long-term water quality using machine learning enhanced by Bayesian optimisation,"T Yan, A Zhou, SL Shen",2023," Environmental Pollution,",Elsevier,39,19.5
853,Credit card fraud detection using a new hybrid machine learning architecture,"EF Malik, KW Khaw, B Belaton, WP Wong, XY Chew",2022," Mathematics,",mdpi.com,72,24.0
854,Dropout prediction in Moocs using deep learning and machine learning,"RB Basnet, C Johnson, T Doleck",2022," Education and Information …,",Springer,39,13.0
855,Machine learning methods for the study of cybersickness: a systematic review,"AHX Yang, N Kasabov, YO Cakmak",2022," Brain Informatics,",Springer,23,7.666666666666667
856,Machine learning demand forecasting and supply chain performance,J Feizabadi,2022," International Journal of Logistics Research and …,",Taylor & Francis,156,52.0
857,Atomistic modeling of the mechanical properties: the rise of machine learning interatomic potentials,"B Mortazavi, X Zhuang, T Rabczuk, AV Shapeev",2023," Materials Horizons,",pubs.rsc.org,40,20.0
858,Applications of artificial intelligence− machine learning for detection of stress: a critical overview,"AFA Mentis, D Lee, P Roussos",2023," Molecular Psychiatry,",nature.com,17,8.5
859,Machine learning in power systems: Is it time to trust it?,"S Chatzivasileiadis, A Venzke…",2022," IEEE Power and …,",ieeexplore.ieee.org,34,11.333333333333334
860,Machine-learning applications in oral cancer: A systematic review,"XA López-Cortés, F Matamala, B Venegas, C Rivera",2022," Applied Sciences,",mdpi.com,30,10.0
861,Depression detection from social networks data based on machine learning and deep learning techniques: An interrogative survey,"KM Hasib, MR Islam, S Sakib, MA Akbar…",2023," IEEE Transactions …,",ieeexplore.ieee.org,50,25.0
862,Using feature selection with machine learning for generation of insurance insights,"A Taha, B Cosgrave, S Mckeever",2022," Applied Sciences,",mdpi.com,30,10.0
863,Fraud detection in banking data by machine learning techniques,"SK Hashemi, SL Mirtaheri, S Greco",2022," IEEE Access,",ieeexplore.ieee.org,51,17.0
864,An intensive healthcare monitoring paradigm by using IoT based machine learning strategies,"LS Kondaka, M Thenmozhi, K Vijayakumar…",2022," Multimedia Tools and …,",Springer,108,36.0
865,Comparative analysis of machine learning algorithms for heart disease predictions,"S Patidar, A Jain, A Gupta",2022,,ieeexplore.ieee.org,29,9.666666666666666
866,A comparative study of demand forecasting models for a multi-channel retail company: a novel hybrid machine learning approach,"A Mitra, A Jain, A Kishore, P Kumar",2022," Operations research forum,",Springer,66,22.0
867,Real‐Time Twitter Spam Detection and Sentiment Analysis using Machine Learning and Deep Learning Techniques,"AP Rodrigues, R Fernandes, A Shetty…",2022," Computational …,",Wiley Online Library,159,53.0
868,Exploring Machine Learning Intrusion Detection: Addressing Security and Privacy Challenges in IoT-A Comprehensive Review,"G Krishnamoorthy, SMK Sistla",2023," Journal of Knowledge Learning …,",researchgate.net,34,17.0
869,A comprehensive survey on machine learning approaches for malware detection in IoT-based enterprise information system,"A Gaurav, BB Gupta, PK Panigrahi",2023," Enterprise Information …,",Taylor & Francis,158,79.0
870,Machine-learning-assisted single-vessel analysis of nanoparticle permeability in tumour vasculatures,"M Zhu, J Zhuang, Z Li, Q Liu, R Zhao, Z Gao…",2023," Nature …,",nature.com,38,19.0
871,Predictions of cervical cancer identification by photonic method combined with machine learning,"M Kruczkowski, A Drabik-Kruczkowska, A Marciniak…",2022," Scientific Reports,",nature.com,40,13.333333333333334
872,Integrating physics-based modeling and machine learning for degradation diagnostics of lithium-ion batteries,"A Thelen, YH Lui, S Shen, S Laflamme, S Hu…",2022," Energy Storage …,",Elsevier,59,19.666666666666668
873,Statistical machine learning model for capacitor planning considering uncertainties in photovoltaic power,X Fu,2022," Protection and Control of Modern Power Systems,",ieeexplore.ieee.org,113,37.666666666666664
874,Software effort estimation accuracy prediction of machine learning techniques: A systematic performance evaluation,"Y Mahmood, N Kama, A Azmi…",2022," Software: Practice and …,",Wiley Online Library,94,31.333333333333332
875,Forces are not enough: Benchmark and critical evaluation for machine learning force fields with molecular simulations,"X Fu, Z Wu, W Wang, T Xie, S Keten…",2022," arXiv preprint arXiv …,",arxiv.org,156,52.0
876,Using machine learning at scale in numerical simulations with SmartSim: An application to ocean climate modeling,"S Partee, M Ellis, A Rigazzi, AE Shao…",2022," Journal of …,",Elsevier,63,21.0
877,Riesznet and forestriesz: Automatic debiased machine learning with neural nets and random forests,"V Chernozhukov, W Newey…",2022," … Machine Learning,",proceedings.mlr.press,49,16.333333333333332
878,Machine learning-based integration develops an immune-derived lncRNA signature for improving outcomes in colorectal cancer,"Z Liu, L Liu, S Weng, C Guo, Q Dang, H Xu…",2022," Nature …,",nature.com,309,103.0
879,Electricity price forecasting on the day-ahead market using machine learning,"L Tschora, E Pierre, M Plantevit, C Robardet",2022," Applied Energy,",Elsevier,136,45.333333333333336
880,Multi-sensor information fusion based on machine learning for real applications in human activity recognition: State-of-the-art and research challenges,"S Qiu, H Zhao, N Jiang, Z Wang, L Liu, Y An, H Zhao…",2022," Information …,",Elsevier,451,150.33333333333334
881,Characterizing metastable states with the help of machine learning,"P Novelli, L Bonati, M Pontil…",2022," Journal of Chemical …,",ACS Publications,19,6.333333333333333
882,MOF synthesis prediction enabled by automatic data mining and machine learning,"Y Luo, S Bag, O Zaremba, A Cierpka…",2022," Angewandte Chemie …,",Wiley Online Library,122,40.666666666666664
883,Sleep apnea detection from single-lead ECG: A comprehensive analysis of machine learning and deep learning algorithms,"M Bahrami, M Forouzanfar",2022," IEEE Transactions on …,",ieeexplore.ieee.org,106,35.333333333333336
884,"Epileptic seizure detection using machine learning: Taxonomy, opportunities, and challenges","MS Farooq, A Zulfiqar, S Riaz",2023," Diagnostics,",mdpi.com,33,16.5
885,Application of machine learning-based approach in food drying: Opportunities and challenges,"MIH Khan, SS Sablani, MUH Joardder…",2022," Drying …,",Taylor & Francis,61,20.333333333333332
886,A hybrid approach to atmospheric modeling that combines machine learning with a physics‐based numerical model,"T Arcomano, I Szunyogh, A Wikner…",2022," Journal of Advances …,",Wiley Online Library,53,17.666666666666668
887,Challenges of modeling and analysis in cybermanufacturing: a review from a machine learning and computation perspective,"SK Kang, R Jin, X Deng, RS Kenett",2023," Journal of Intelligent Manufacturing,",Springer,25,12.5
888,The Implementation of Machine Learning In The Insurance Industry With Big Data Analytics,"KI Jones, S Sah",2023," International Journal of Data Informatics and Intelligent …,",ijdiic.com,17,8.5
889,Towards A Framework for Performance Management and Machine Learning in A Higher Education Institution,"J Siram, DSV Chikati Srinu, A Tripathi",2024," Journal of Informatics Education …,",jier.org,20,20.0
890,Machine learning modeling of family wide enzyme-substrate specificity screens,"S Goldman, R Das, KK Yang…",2022," PLoS computational …,",journals.plos.org,69,23.0
891,Development of a Machine learning assessment method for renewable energy investment decision making,"M Izanloo, A Aslani, R Zahedi",2022," Applied Energy,",Elsevier,40,13.333333333333334
892,Stability of clinical prediction models developed using statistical or machine learning methods,"RD Riley, GS Collins",2023," Biometrical Journal,",Wiley Online Library,41,20.5
893,Data-driven science and machine learning methods in laser–plasma physics,"A Döpp, C Eberle, S Howard, F Irshad, J Lin…",2023," High Power Laser …,",cambridge.org,45,22.5
894,Heartfelt Insights: AI and Machine Learning Applications for Cardiac Wellness,"MA Adam, A Mukhtar",2024," International Journal of Advanced Engineering …,",ijaeti.com,14,14.0
895,Foundations of machine learning-based clinical prediction modeling: Part II—Generalization and overfitting,"JM Kernbach, VE Staartjes",2022," Machine Learning in Clinical Neuroscience …,",Springer,93,31.0
896,A hybrid prediction frame for HEAs based on empirical knowledge and machine learning,"S Hou, M Sun, M Bai, D Lin, Y Li, W Liu",2022," Acta Materialia,",Elsevier,23,7.666666666666667
897,UAV-based multi-sensor data fusion and machine learning algorithm for yield prediction in wheat,"S Fei, MA Hassan, Y Xiao, X Su, Z Chen, Q Cheng…",2023," Precision …,",Springer,121,60.5
898,Revolutionizing chronic kidney disease management with machine learning and artificial intelligence,"P Krisanapan, S Tangpanithandee…",2023," Journal of Clinical …,",mdpi.com,20,10.0
899,"A review on the integrated optimization techniques and machine learning approaches for modeling, prediction, and decision making on integrated energy systems","TM Alabi, EI Aghimien, FD Agbajor, Z Yang, L Lu…",2022," Renewable Energy,",Elsevier,95,31.666666666666668
900,Machine learning in vehicular networking: An overview,"K Tan, D Bremner, J Le Kernec, L Zhang…",2022," Digital Communications …,",Elsevier,44,14.666666666666666
901,Application of machine learning techniques for the estimation of the safety factor in slope stability analysis,"Y Ahangari Nanehkaran, T Pusatli, J Chengyong…",2022," Water,",mdpi.com,50,16.666666666666668
902,Application of machine learning for lithofacies prediction and cluster analysis approach to identify rock type,"M Hussain, S Liu, U Ashraf, M Ali, W Hussain, N Ali…",2022," Energies,",mdpi.com,44,14.666666666666666
903,Machine learning of superconducting critical temperature from Eliashberg theory,"SR Xie, Y Quan, AC Hire, B Deng…",2022," npj Computational …,",nature.com,51,17.0
904,The derived demand for advertising expenses and implications on sustainability: a comparative study using deep learning and traditional machine learning …,"S Birim, I Kazancoglu, SK Mangla, A Kahraman…",2024," Annals of Operations …,",Springer,40,40.0
905,Machine learning for green hydrogen production,"KE Bassey, C Ibegbulam",2023," Computer Science & IT Research …,",researchgate.net,29,14.5
906,Machine-learning-based darknet traffic detection system for IoT applications,"Q Abu Al-Haija, M Krichen, W Abu Elhaija",2022," Electronics,",mdpi.com,108,36.0
907,A machine learning based credit card fraud detection using the GA algorithm for feature selection,"E Ileberi, Y Sun, Z Wang",2022," Journal of Big Data,",Springer,182,60.666666666666664
908,Detecting IoT attacks using an ensemble machine learning model,"V Tomer, S Sharma",2022," Future Internet,",mdpi.com,37,12.333333333333334
909,Automated Machine Learning in Waste Classification: A Revolutionary Approach to Efficiency and Accuracy,"Z Lee, YC Wu, X Wang",2023, Proceedings of the,dl.acm.org,30,15.0
910,IoT intrusion detection using machine learning with a novel high performing feature selection method,"K Albulayhi, Q Abu Al-Haija, SA Alsuhibany…",2022," Applied Sciences,",mdpi.com,104,34.666666666666664
911,In silico proof of principle of machine learning-based antibody design at unconstrained scale,"R Akbar, PA Robert, CR Weber, M Widrich, R Frank…",2022," MAbs,",Taylor & Francis,100,33.333333333333336
912,Multispectral satellite imagery and machine learning for the extraction of shoreline indicators,"E McAllister, A Payo, A Novellino, T Dolphin…",2022," Coastal …,",Elsevier,88,29.333333333333332
913,Application of machine learning techniques to model a full-scale wastewater treatment plant with biological nutrient removal,"MS Zaghloul, G Achari",2022," Journal of Environmental Chemical Engineering,",Elsevier,56,18.666666666666668
914,Sustainable stock market prediction framework using machine learning models,"FJG Peñalvo, T Maan, SK Singh, S Kumar…",2022," International Journal of …,",igi-global.com,52,17.333333333333332
915,Human emotion recognition from EEG-based brain–computer interface using machine learning: a comprehensive review,"EH Houssein, A Hammad, AA Ali",2022," Neural Computing and Applications,",Springer,221,73.66666666666667
916,An efficient approach for damage identification based on improved machine learning using PSO-SVM,"T Cuong-Le, T Nghia-Nguyen, S Khatir…",2022," Engineering with …,",Springer,99,33.0
917,"Machine learning algorithm for malware detection: Taxonomy, current challenges, and future directions","NZ Gorment, A Selamat, LK Cheng, O Krejcar",2023," IEEE Access,",ieeexplore.ieee.org,27,13.5
918,"An analysis to understand the role of machine learning, robotics and artificial intelligence in digital marketing","RSK Boddu, AA Santoki, S Khurana, PV Koli…",2022," Materials Today …,",Elsevier,48,16.0
919,Anomaly detection in 6G networks using machine learning methods,"MM Saeed, RA Saeed, M Abdelhaq, R Alsaqour…",2023," Electronics,",mdpi.com,36,18.0
920,Machine learning based customer meta-combination brand equity analysis for marketing behavior evaluation,"Z Xu, G Zhu, N Metawa, Q Zhou",2022," Information Processing & Management,",Elsevier,89,29.666666666666668
921,Machine learning mastery,J Brownlee,2022,,Machine Learning Mastery,303,101.0
922,Machine learning for metal additive manufacturing: Towards a physics-informed data-driven paradigm,"S Guo, M Agarwal, C Cooper, Q Tian, RX Gao…",2022," Journal of Manufacturing …,",Elsevier,144,48.0
923,Comparative performance analysis of quantum machine learning with deep learning for diabetes prediction,"H Gupta, H Varshney, TK Sharma, N Pachauri…",2022," Complex & Intelligent …,",Springer,111,37.0
924,Secured and privacy-based IDS for healthcare systems on E-medical data using machine learning approach,"S Sengan, OI Khalaf, DK Sharma…",2022," International Journal of …,",igi-global.com,87,29.0
925,A systematic review on machine learning approaches for cardiovascular disease prediction using medical big data,"J Azmi, M Arif, MT Nafis, MA Alam, S Tanweer…",2022," Medical engineering & …,",Elsevier,84,28.0
926,Optimizing University Admissions: A Machine Learning Perspective,"A Maulana, TR Noviandy, NR Sasmita…",2023," … and Learning,",heca-analitika.com,19,9.5
927,Effective machine learning model combination based on selective ensemble strategy for time series forecasting,"SX Lv, L Peng, H Hu, L Wang",2022," Information Sciences,",Elsevier,50,16.666666666666668
928,End-to-end optimization of machine learning prediction queries,"K Park, K Saur, D Banda, R Sen, M Interlandi…",2022," Proceedings of the …,",dl.acm.org,44,14.666666666666666
929,SeisBench—A toolbox for machine learning in seismology,"J Woollam, J Münchmeyer…",2022," Seismological …,",pubs.geoscienceworld.org,81,27.0
930,A research ethics framework for the clinical translation of healthcare machine learning,"MD McCradden, JA Anderson…",2022," The American Journal …,",Taylor & Francis,71,23.666666666666668
931,"Classification of weed using machine learning techniques: a review—challenges, current and future potential techniques","AH Al-Badri, NA Ismail, K Al-Dulaimi…",2022," Journal of Plant …,",Springer,31,10.333333333333334
932,Improving Multi-Organ Cancer Diagnosis through a Machine Learning Ensemble Approach,"MS Khan, RR Dixit, A Majumdar, VM Koti…",2023,,ieeexplore.ieee.org,26,13.0
